N,P,K,temperature,humidity,ph,rainfall,label
61.860418817237395,39.97800591964821,72.75837996522884,29.984173208672864,57.59913261826024,6.612378690874637,215.41848562813988,pomegranate
55.401078260940245,52.04577147761547,62.48221326073621,27.146511164343632,58.257193832667376,6.639246808996775,124.32115728779844,papaya
61.39588880724169,78.86729839083792,63.0826863967459,21.50520587080642,69.7593880480697,6.1516816171502064,185.75932492317202,pigeonpeas
64.53015188243498,74.18462838149628,32.31843369565562,28.804432320429605,55.460081569936946,5.920866670092656,166.0783485580357,orange
69.08097304286505,64.94273997069662,58.55111619309301,16.294465709986152,59.89390687895644,6.305242158787037,186.30969250743513,lentil
86.24891928482835,54.61581380311899,55.288101308620085,26.241282246477507,55.823520414056595,5.422065030438685,107.83513567173458,papaya
57.01730327592964,49.32497143495645,92.86771528103814,35.703362193802825,55.50795391018724,5.92794236844607,207.98849098038053,pomegranate
89.06335693480997,68.68102277110594,66.79695381106207,32.902918798991,61.7273349327967,5.888192514578719,110.86845178341387,papaya
46.15668770933618,35.68973012102345,36.85730822405442,34.89022139426438,58.41668726857039,5.238677747463667,197.5407437696534,apple
72.95562147524544,78.56670294071672,86.06676402164362,22.175172830615523,59.72403263301924,6.200529411675211,152.81190512464428,grapes
75.08389311357192,76.31781568161591,66.69154592496896,20.282500859792886,63.336654740615515,6.961537924589365,162.27532394737167,pigeonpeas
30.770380705463616,73.86384334370358,41.01908706563984,32.269637123371055,72.80863564703837,7.965766551258879,127.96799956284745,mothbeans
88.3723057550659,33.96343622684917,60.673205093781384,26.818711580488866,62.887971896197115,7.148422911585226,163.4072653622209,coffee
77.73497361727006,35.89839056585842,87.11351807921068,25.724466706497886,57.50869075624304,6.351868921237008,203.86832876643908,pomegranate
73.17440657726286,35.96783153385904,89.89433803761844,23.783336812012344,77.41634677541957,6.726375077077992,128.18891321333072,watermelon
86.57289378520102,60.786877076056584,37.33811388053777,26.328662361682984,73.24040412073354,6.380508676949858,186.70914612839195,banana
95.93101257968384,41.71231253187207,48.409457448131555,27.520829312288594,74.9813340972357,6.870683111756062,182.54041236054118,maize
48.575419340047816,21.51076056209797,40.482582215141335,33.19553366784211,72.36214191408298,5.841743736277371,210.9318590643575,apple
43.65665088957937,82.75430682526624,36.59662506878605,31.073222018599488,69.43576970191087,7.483379420495442,125.88260676251465,mothbeans
101.56685805902102,85.34751914044796,38.30568310539301,34.33708960289039,79.08963879722374,6.414180424279872,220.34897677314444,mungbeans
76.26626506496595,63.48586127515773,57.68941067129098,17.09328237295103,67.11477915432872,6.396005864637649,196.56132690070493,pigeonpeas
82.4531427469719,37.06569263965274,40.55008664508425,30.51960958120619,72.83779617846669,7.695791411763371,241.8713735930031,mango
47.84867883852635,56.943530581596754,42.558043556234026,29.99759065462047,60.50251285660778,7.231759644954389,160.1200600643989,mothbeans
80.40987804912447,46.73166512200734,74.48398956274467,37.675386652842974,69.82929513399337,7.33241573982173,234.20505042253123,muskmelon
86.38080374909651,80.78106807911514,55.46100986869324,35.29145813526109,69.09751784356122,6.210406569826975,112.28549107071373,kidneybeans
